Electricity generation total (kilowatt-hours);1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Hungary;28,41,10,00,000.00;29,98,00,00,000.00;31,61,40,00,000.00;32,78,40,00,000.00;33,51,50,00,000.00;34,01,70,00,000.00;35,10,20,00,000.00;35,39,60,00,000.00;37,18,80,00,000.00;37,15,40,00,000.00;35,19,10,00,000.00;36,41,80,00,000.00;36,15,80,00,000.00;34,14,50,00,000.00;33,70,80,00,000.00;35,75,50,00,000.00;35,85,90,00,000.00;39,95,90,00,000.00;40,00,20,00,000.00
Iceland;4,51,00,00,000.00;4,49,40,00,000.00;4,54,60,00,000.00;4,72,70,00,000.00;4,78,00,00,000.00;4,97,60,00,000.00;5,11,30,00,000.00;5,58,00,00,000.00;6,27,50,00,000.00;7,18,50,00,000.00;7,67,90,00,000.00;8,02,80,00,000.00;8,41,10,00,000.00;8,49,50,00,000.00;8,61,80,00,000.00;8,68,00,00,000.00;9,54,80,00,000.00;11,97,60,00,000.00;16,46,70,00,000.00
India;2,95,98,77,50,000.00;3,19,90,15,00,000.00;3,38,61,85,00,000.00;3,63,64,05,00,000.00;3,93,67,85,00,000.00;4,22,71,47,50,000.00;4,44,00,37,50,000.00;4,73,59,72,50,000.00;5,06,79,85,00,000.00;5,42,54,95,00,000.00;5,65,41,15,00,000.00;5,83,47,57,50,000.00;6,05,72,60,00,000.00;6,41,42,45,00,000.00;6,73,76,95,00,000.00;7,08,68,40,00,000.00;7,59,69,22,56,500.00;8,08,83,17,28,800.00;8,34,25,48,84,100.00
Indonesia;33,33,60,00,000.00;37,67,40,00,000.00;41,00,90,00,000.00;44,41,50,00,000.00;51,70,60,00,000.00;58,88,50,00,000.00;66,71,80,00,000.00;76,48,90,00,000.00;77,26,30,00,000.00;84,26,90,00,000.00;92,64,00,00,000.00;1,01,64,70,00,000.00;1,08,20,60,00,000.00;1,12,92,60,00,000.00;1,20,16,00,00,000.00;1,27,36,20,00,000.00;1,33,10,80,00,000.00;1,42,41,10,00,000.00;1,51,15,56,60,000.00
Iran;57,65,40,00,000.00;62,81,50,00,000.00;67,17,80,00,000.00;74,68,50,00,000.00;81,00,50,00,000.00;84,35,30,00,000.00;88,76,00,00,000.00;96,98,30,00,000.00;1,02,38,60,00,000.00;1,10,08,80,00,000.00;1,19,34,80,00,000.00;1,28,16,60,00,000.00;1,38,22,40,00,000.00;1,45,65,90,00,000.00;1,56,40,80,00,000.00;1,69,66,60,00,000.00;1,84,27,90,00,000.00;1,96,04,10,00,000.00;2,06,30,00,00,000.00
Ireland;14,51,50,00,000.00;15,14,70,00,000.00;16,01,10,00,000.00;16,39,60,00,000.00;17,12,60,00,000.00;17,87,90,00,000.00;19,18,10,00,000.00;19,95,80,00,000.00;21,07,70,00,000.00;22,03,80,00,000.00;23,97,70,00,000.00;25,31,50,00,000.00;24,63,20,00,000.00;25,30,10,00,000.00;25,56,90,00,000.00;25,97,00,00,000.00;27,03,70,00,000.00;28,22,60,00,000.00;29,75,00,00,000.00
Italy;2,16,89,10,00,000.00;2,22,04,10,00,000.00;2,26,24,30,00,000.00;2,22,78,80,00,000.00;2,31,80,30,00,000.00;2,41,48,00,00,000.00;2,44,49,10,00,000.00;2,51,46,20,00,000.00;2,59,76,10,00,000.00;2,65,65,70,00,000.00;2,76,62,90,00,000.00;2,78,99,50,00,000.00;2,84,40,10,00,000.00;2,93,86,50,00,000.00;3,03,32,10,00,000.00;3,03,67,20,00,000.00;3,14,09,03,00,000.00;3,13,90,00,00,000.00;3,17,90,00,00,000.00
Japan;8,41,05,70,00,000.00;8,70,79,80,00,000.00;8,76,40,40,00,000.00;8,87,21,50,00,000.00;9,43,66,90,00,000.00;9,68,61,00,00,000.00;9,89,28,50,00,000.00;10,14,63,90,00,000.00;10,19,83,50,00,000.00;10,36,78,90,00,000.00;10,57,93,70,00,000.00;10,39,71,90,00,000.00;10,58,34,20,00,000.00;10,82,61,40,00,000.00;11,07,84,60,00,000.00;11,33,58,40,00,000.00;11,39,78,33,06,000.00;11,60,04,21,69,000.00;11,54,33,40,00,000.00
Kazakhstan;87,37,90,00,000.00;85,99,00,00,000.00;83,16,60,00,000.00;77,88,90,00,000.00;66,77,70,00,000.00;66,73,90,00,000.00;58,74,70,00,000.00;52,00,00,00,000.00;49,80,00,00,000.00;47,30,00,00,000.00;51,63,50,00,000.00;55,60,00,00,000.00;58,70,00,00,000.00;63,86,60,00,000.00;66,94,20,00,000.00;67,91,97,00,000.00;71,66,84,61,500.00;76,62,15,28,000.00;79,98,04,00,000.00
Korea, Rep.;1,18,73,80,00,000.00;1,32,22,80,00,000.00;1,47,84,30,00,000.00;1,63,44,90,00,000.00;1,84,93,10,00,000.00;2,05,10,20,00,000.00;2,27,55,40,00,000.00;2,48,65,30,00,000.00;2,40,58,70,00,000.00;2,66,81,80,00,000.00;2,95,15,60,00,000.00;3,13,96,30,00,000.00;3,36,23,70,00,000.00;3,52,35,20,00,000.00;3,72,14,80,00,000.00;3,96,61,10,00,000.00;4,15,94,90,00,000.00;4,39,98,40,00,000.00;4,62,86,30,00,000.00
Kuwait;18,47,70,00,000.00;10,78,00,00,000.00;16,88,50,00,000.00;20,17,80,00,000.00;22,80,20,00,000.00;23,72,40,00,000.00;25,47,50,00,000.00;26,72,40,00,000.00;29,98,40,00,000.00;31,57,60,00,000.00;32,85,30,00,000.00;34,82,90,00,000.00;36,89,20,00,000.00;39,80,20,00,000.00;41,25,60,00,000.00;43,73,40,00,000.00;47,60,70,00,000.00;49,32,08,00,000.00;52,03,35,00,000.00
Lithuania;28,40,50,00,000.00;29,36,30,00,000.00;18,70,70,00,000.00;14,10,50,00,000.00;9,99,80,00,000.00;13,84,00,00,000.00;16,78,90,00,000.00;14,86,10,00,000.00;17,63,00,00,000.00;13,53,50,00,000.00;11,42,50,00,000.00;14,73,70,00,000.00;17,72,10,00,000.00;19,48,80,00,000.00;19,27,40,00,000.00;14,78,43,00,000.00;12,48,19,00,000.00;14,00,76,00,000.00;14,01,00,00,000.00
Malaysia;25,26,20,00,000.00;28,33,50,00,000.00;31,88,70,00,000.00;35,57,90,00,000.00;40,05,80,00,000.00;46,63,20,00,000.00;52,81,90,00,000.00;58,67,40,00,000.00;60,47,10,00,000.00;62,55,30,00,000.00;66,67,80,00,000.00;72,28,00,00,000.00;75,32,80,00,000.00;84,02,20,00,000.00;90,66,10,00,000.00;96,22,50,00,000.00;1,00,83,10,00,000.00;1,04,95,00,00,000.00;1,06,36,59,00,000.00
